Project name (with numbers for reference);Year;Medium;Short description;Detailed description;Credentials;Text before image 1;Image 1;Text after image 1;Text before image 2;Image 2;Text after image 2;Text before image 3;Image 3;Text after image 3;Text before image 4;Image 4;Text after image 4;Video 1;Video 2;;;;
06 - Voices of Leopoldplatz;2025;video;A video documentation of the residency project produced for AIR Leopoldplatz Residencies.;VOICES OF LEOPOLDPLATZ is a project by EBE SOBE Kollektiv, consisting of a workshop made in Leopoldplatz Playground. The video above, documents the workshop context and the recording made by children. ;"This video is funded by AIR Leopoldplatz Artist Residency, 2025.

Video Editor: Gülsen Namıduru
Sound design: Mert Yıldız, Sophia Wind
Sound Recordings: Children participated
";;;;;;;;;;;;;;;Bebe_sobe.mp4;;;
05 - Pirate Pedagogies;2025;art in public space;an educational program focusing on the relationship between urban aesthetic, sensory experience and our mental landscape;"PIRATE PEDAGOGIES is a site-specific project exploring the tactile and acoustic features of urban space through participatory workshops with children. Using a card game designed by the collective, the project creates a photographic card deck of materials found in playgrounds, each of which is paired with questions reflecting on synesthesia and narrative formation. Using the cards as a guide, the children engage with the space and its materials, experiencing it as a field of bodily experimentation and corporeal sense-making. Through play the materials address the children directly,: “be curious, touch me, climb me”.

The project sees the playground as a research site and pedagogical tool, inviting an exploration through texture, sound, and questions that highlight empathy, care and narrative building.

The urgency of this project lies in the transformation of public spaces into increasingly regulated, standardized, and risk-managed environments. This disciplinary turn of recreational spaces limits material engagement, preventing creativity from sparkling through informal and unpredictable play. The workshop approaches the playground as an architectural typology, reimagining it as a site of belonging creativity and corporeal encounter. This way, spontaneous play is emphasised and encouraged. 

For children aged 6–12, the playground is often the realm where they can negotiate social and political norms, proximity, conflict and care beyond institutions. The work with this age group grounds this learning process in embodied experience and relational knowledge, empowering children to shape space collectively.
";"Graphic design: Sena Çelebi
Text: Gülsen Namıduru ";;;;;;;;;;;;;;;;;;
04 - Sylwester Stalker;2025;video;A video that accompany Fugues States’ performance for Radial System.;SYLWESTER STALKER is a video presenting contrasting images very easily instrumentalist by the police while targeting migrant firework use in New Years in Berlin. The work recreates the anxiety and excitement melting in each other in new years. This controversial ritual is a part of New Years celebrations, and was realised by Sophia Wind, a sound collector. While she was recording the sound, I was recording the street, focusing on images and movement in the city, in that specific time. The reason for that was merely a naive interest on the militant nature of fireworks. Later, these recordings, the sound piece of Fugues States and my video excerpt found each other. The video work produced only for the live performance, and was shown in Alte Feuerwache Tempelhof. ;Fugues States. 'Sylwester Stalker.’ Produced by Gülsen Namiduru, Alte Feuerwache Tempelhof, Berlin, September 2025;;;;;;;;;;;;;;;FIREWORK MADNESS & CHAOS.mp4;;;
03 - Architectures Of Sky;2024;photography;a photography series focusing on the naval objects framing sky.;ARCHITECTURES OF SKY is a photography project that focuses on parts of objects framing sky, becoming 'furnitures' in the context they were framed. I found these moments mostly in harbours, as either parts of industrial elements, or human made landscapes. The main subject here is the sky and how the sky being nearly 'parcellated’ in these photographs. Seeing the beginning steps of parcelation in sky, gives an uncanny feeling to the observers in harbours. I isolate them from their surrounding or connected part, photographing the unexpected aesthetic resonance. In their intersections and overlaps, a visual language emerges, reminiscre formal compositions, the project attempts to undo the numb efficiency imposed on their aesthetics. In doing so, it reclaims a sense of affect and engagement within an industrial language built for optimization rather than expression. The photographic subjects I choose oscillate between hyper- and trans-local in their character. They are mostly bi-products of mass production, in constant circulation, migrating from one place to another, they are nearly context-less. To enhance this effect, I isolate the objects from their surroundings with a process of zooming and framing. Since scale is a relational property of an object, isolation helps me to manipulate the reality that object impose on the viewer. While opening a door to abstraction, it helps me to rewrite the narrative of these objects for a reserach on their affective qualities.;;architecture_of_sky.jpg;;;architectures_of_sky_2.jpg;;;architectures_of_sky_3.jpg;;;_DSC5409.jpg;;;;;;;;
02 - Abandoned Battleground;2023;photography;a photographical research on rubbish and urban exclusion.;"The foundation of ABANDONED PLAYGROUND lies in the photographs I capture during my walks in gentrified areas such as Wedding, Moabit, Pankow, Neukölln, and Kreuzberg. Berlin is renowned for its positive qualities as well as its reputation for being dirty. Rather than merely perceiving this as a failure of the city, the project looks for underlying markers. In the neighbourhoods I photographed, the concept of ""rubbish"" and its correspondent in state agenda, waste management, emerges as a form of urban exclusion. To speculate on the imagery of exclusion, I adopt an archaeological approach to rubbish within the urban periphery. I focus on groups of objects that are out-of-use, discarded, and abandoned in the city, document their state, manipulate their scale and amplify its textures, I try to create a textural feeling that reminds the urban topography there. ";;1.jpg;;;2.jpg;;;5.jpg;;;6.jpg;;;1705851079910.jpg;;;;;
01 - Hieroglyphs;2022;drawing;an attempt to understand and map the affective symbolism of geometry;Exhibition Photos;;;daire çalışma.jpg;;;üçgen çalışması.jpg;;;;;;;;;;;;;
